Net_Metrekare,Brüt_Metrekare,Oda_Sayısı,Bulunduğu_Kat,Eşya_Durumu,Binanın_Yaşı,Isıtma_Tipi,Fiyat,Şehir,Binanın_Kat_Sayısı,Kullanım_Durumu,Yatırıma_Uygunluk,Takas,Tapu_Durumu,Banyo_Sayısı
120,150.0,4.0,4.Kat,Eşyalı,21 Ve Üzeri,Kombi Doğalgaz,950000.0,adana,6,Boş,,Var,Kat Mülkiyeti,1.0
100,125.0,4.0,3.Kat,Boş,4,Kombi Doğalgaz,1250000.0,adana,10,Boş,,Var,,1.0
89,95.0,3.0,4.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1750000.0,adana,14,Boş,Uygun,Var,,1.0
40,55.0,2.0,6.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1300000.0,adana,14,Boş,Uygun,Yok,,1.0
140,150.0,4.0,Düz Giriş (Zemin),Boş,5-10,Klimalı,1700000.0,adana,4,Boş,Uygun,Yok,Kat Mülkiyeti,1.0
40,55.0,2.0,12.Kat,Boş,5-10,Klimalı,765000.0,adana,13,Kiracı Oturuyor,,,Kat Mülkiyeti,1.0
90,110.0,3.0,2.Kat,,0 (Yeni),Kombi Doğalgaz,1700000.0,adana,14,Boş,Uygun,,,1.0
180,750.0,5.0,,Boş,16-20,Klimalı,3950000.0,adana,2,Mülk Sahibi Oturuyor,Uygun,,,1.0
105,145.0,4.0,8.Kat,,4,Kombi Doğalgaz,1995000.0,adana,11,Boş,Uygun,,Kat Mülkiyeti,1.0
110,130.0,4.0,4.Kat,,5-10,Kombi Doğalgaz,2550000.0,adana,11,Boş,Uygun,Yok,Kat İrtifakı,1.0
100,120.0,3.0,2.Kat,Boş,0 (Yeni),Kombi Doğalgaz,2465000.0,adana,6,Boş,,,Kat Mülkiyeti,1.0
130,145.0,4.0,2.Kat,Boş,16-20,Kombi Doğalgaz,2085000.0,adana,9,Boş,Uygun,Yok,Kat Mülkiyeti,1.0
90,110.0,3.0,2.Kat,Boş,5-10,Klimalı,1785000.0,adana,3,Kiracı Oturuyor,Uygun,Yok,Kat Mülkiyeti,1.0
100,120.0,4.0,2.Kat,Boş,4,Kombi Doğalgaz,2090000.0,adana,10,Boş,Uygun,Yok,Kat İrtifakı,1.0
140,150.0,4.0,5.Kat,Boş,3,Klimalı,3200000.0,adana,5,Boş,Uygun,Yok,Kat Mülkiyeti,2.0
45,50.0,2.0,14.Kat,Boş,0 (Yeni),Kombi Doğalgaz,975000.0,adana,14,Boş,Uygun,Yok,Kat Mülkiyeti,1.0
45,60.0,2.0,4.Kat,Boş,0 (Yeni),Klimalı,1100000.0,adana,12,Boş,Bilinmiyor,Yok,,1.0
220,250.0,5.0,8.Kat,Boş,21 Ve Üzeri,Kombi Doğalgaz,4200000.0,adana,12,Mülk Sahibi Oturuyor,Uygun,Var,Kat Mülkiyeti,1.0
80,95.0,3.0,12.Kat,,0 (Yeni),Klimalı,1395000.0,adana,13,Boş,Bilinmiyor,Yok,,1.0
280,300.0,6.0,16.Kat,,4,Merkezi (Pay Ölçer),13000000.0,adana,3,Boş,,,,2.0
85,110.0,3.0,1.Kat,Boş,0 (Yeni),Kombi Doğalgaz,2370000.0,adana,14,Boş,Uygun,Yok,Kat Mülkiyeti,2.0
125,175.0,4.5,1.Kat,Boş,5-10,Kombi Doğalgaz,2700000.0,adana,10,Boş,Uygun,Var,Kat Mülkiyeti,2.0
140,150.0,4.0,6.Kat,Boş,21 Ve Üzeri,Kombi Doğalgaz,2390000.0,adana,8,Boş,Uygun,Var,Kat Mülkiyeti,1.0
195,200.0,5.0,,,5-10,Sobalı,4100000.0,adana,2,Kiracı Oturuyor,Bilinmiyor,Var,,1.0
110,130.0,4.0,17.Kat,Boş,3,Kombi Doğalgaz,3800000.0,adana,3,Mülk Sahibi Oturuyor,Uygun,Var,Kat İrtifakı,2.0
130,140.0,4.0,4.Kat,,5-10,Kombi Doğalgaz,2300000.0,adana,4,Mülk Sahibi Oturuyor,,,,2.0
70,80.0,3.0,2.Kat,,16-20,Klimalı,1185000.0,adana,12,Boş,Uygun,,,1.0
200,250.0,6.0,9.Kat,Boş,0 (Yeni),Kombi Doğalgaz,5498000.0,adana,15,Boş,,,,2.0
110,160.0,4.0,5.Kat,,21 Ve Üzeri,Klimalı,1995000.0,adana,7,Boş,Bilinmiyor,Yok,,1.0
80,90.0,3.0,Yüksek Giriş,Boş,2,Klimalı,1295000.0,adana,10,Boş,Bilinmiyor,Yok,,1.0
200,280.0,6.0,,Boş,16-20,Kombi Doğalgaz,6250000.0,adana,3,Boş,Uygun,,Kat Mülkiyeti,3.0
110,125.0,4.0,4.Kat,,4,Klimalı,1600000.0,adana,11,Boş,,,,2.0
280,300.0,6.0,16.Kat,,4,Merkezi (Pay Ölçer),13000000.0,adana,3,Boş,Bilinmiyor,Yok,,2.0
115,130.0,3.0,1.Kat,Boş,5-10,Klimalı,2250000.0,adana,5,Boş,Uygun,Yok,Kat Mülkiyeti,1.0
105,160.0,4.0,7.Kat,Boş,4,Kombi Doğalgaz,1850000.0,adana,13,Boş,Uygun,Yok,Kat Mülkiyeti,2.0
110,130.0,4.0,11.Kat,Boş,4,Kombi Doğalgaz,1650000.0,adana,13,Kiracı Oturuyor,Bilinmiyor,Yok,Kat İrtifakı,2.0
85,90.0,4.0,2.Kat,,21 Ve Üzeri,Klimalı,1665000.0,adana,12,Boş,Uygun,Yok,Kat Mülkiyeti,1.0
130,140.0,3.0,,Boş,16-20,Klimalı,1800000.0,adana,1,Boş,Uygun,Yok,Kat Mülkiyeti,1.0
95,125.0,3.0,5.Kat,Boş,3,Klimalı,1340000.0,adana,5,Boş,Bilinmiyor,Yok,Kat İrtifakı,2.0
150,250.0,4.0,,Boş,4,Kombi Doğalgaz,9750000.0,adana,3,Mülk Sahibi Oturuyor,Uygun,Var,Kat Mülkiyeti,2.0
147,150.0,4.0,1.Kat,Boş,4,Klimalı,2500000.0,adana,5,Boş,Uygun,Yok,Kat Mülkiyeti,2.0
80,110.0,3.0,3.Kat,Boş,4,Klimalı,1180000.0,adana,12,Boş,Bilinmiyor,Yok,Kat İrtifakı,2.0
140,150.0,4.0,1.Kat,Boş,0 (Yeni),Klimalı,2500000.0,adana,5,Boş,Uygun,Yok,Kat Mülkiyeti,3.0
